time_period,ref_area,freq,measure,unit_measure,activity,adjustment,transformation,time_horiz,methodology,obs_value,unit_mult,decimals,obs_status
2004-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.8255,0,2,A
2004-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.0319,0,2,A
2004-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.1212,0,2,A
2005-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.0119,0,2,A
2005-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.7075,0,2,A
2005-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.255,0,2,A
2005-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7598,0,2,A
2005-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.3386,0,2,A
2005-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.1042,0,2,A
2005-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.1352,0,2,A
2005-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.3783,0,2,A
2005-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7351,0,2,A
2005-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.0801,0,2,A
2005-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.292,0,2,A
2005-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.3203,0,2,A
2006-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.2028,0,2,A
2006-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.0002,0,2,A
2006-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7661,0,2,A
2006-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.538,0,2,A
2006-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.3311,0,2,A
2006-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.1496,0,2,A
2006-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.0164,0,2,A
2006-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.0496,0,2,A
2006-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.2604,0,2,A
2006-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.6174,0,2,A
2006-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.0767,0,2,A
2006-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.5266,0,2,A
2007-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.8546,0,2,A
2007-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.9625,0,2,A
2007-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.9196,0,2,A
2007-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.8387,0,2,A
2007-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.8464,0,2,A
2007-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.0847,0,2,A
2007-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.5282,0,2,A
2007-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.0334,0,2,A
2007-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.5458,0,2,A
2007-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.996,0,2,A
2007-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,104.3398,0,2,A
2007-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,104.5154,0,2,A
2008-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,104.4598,0,2,A
